CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
68,SANTANDER,68755,SOCORRO,- 0,2.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68773,SUCRE,3.00,55.00,109.00,173.00,199.00,205.00,204.00,449.00,191.00,95.00,86.00,31.00,26.00,7.00,3.39,- 0,- 0,- 0,- 0,0,- 0,- 0
68,SANTANDER,68861,VÉLEZ,- 0,- 0,7.29,12.18,19.00,18.00,8.00,- 0,29.00,39.00,19.00,2.00,3.00,1.00,2.03,- 0,- 0,- 0,- 0,0,- 0,- 0
76,VALLE DEL CAUCA,76100,BOLÍVAR,- 0,- 0,- 0,0.97,18.00,75.00,2.00,17.00,1.00,15.00,52.00,14.00,23.00,5.00,16.18,31.24,75.42,80.85,17.39,24.76,77.41,156.18
76,VALLE DEL CAUCA,76109,BUENAVENTURA,186.35,66.00,32.00,44.00,10.00,149.00,400.00,"1,651.00",794.00,558.00,842.00,422.00,338.00,539.00,627.86,680.47,"1,030.16",987.23,918.49,907.79,"1,273.69",1301.22
76,VALLE DEL CAUCA,76001,CALI,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
76,VALLE DEL CAUCA,76126,CALIMA (El Darién),- 0,- 0,5.00,- 0,- 0,57.00,51.00,386.00,134.00,92.00,73.00,46.00,31.00,16.00,24.36,33.55,43.60,44.93,14.54,13.56,45.10,48.77
76,VALLE DEL CAUCA,76233,DAGUA,- 0,34.00,- 0,- 0,- 0,- 0,- 0,8.00,- 0,- 0,14.00,- 0,6.00,1.00,3.14,3.03,45.82,36.61,58.64,38.72,33.93,48.86
76,VALLE DEL CAUCA,76364,JAMUNDÍ,- 0,11.00,- 0,- 0,- 0,- 0,- 0,25.00,- 0,- 0,- 0,- 0,- 0,- 0,18.44,3.64,61.56,116.92,"1,319.94",953.03,"1,159.51",1083.89
76,VALLE DEL CAUCA,76834,TULUÁ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.75,4.02,- 0,0,- 0,- 0
97,VAUPÉS,97161,CARURÚ,"1,279.80","1,125.00",827.00,638.00,386.00,189.00,157.00,168.00,63.00,60.00,100.00,105.00,125.00,92.00,31.03,96.66,105.46,64.74,25.95,39.33,28.81,17.05
97,VAUPÉS,97001,MITÚ,380.52,269.00,230.00,389.00,262.00,259.00,125.00,331.00,190.00,424.00,111.00,125.00,54.00,16.00,1.61,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97511,PACOA (Cor. Departamental),36.42,20.00,34.95,- 0,1.00,3.00,16.00,27.00,78.00,183.00,60.00,15.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97777,PAPUNAUA (Cor. Departamental),73.02,58.00,7.89,33.00,21.00,9.00,5.00,26.00,15.00,27.00,1.00,6.00,4.00,1.00,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97666,TARAIRA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.00,14.00,5.00,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
97,VAUPÉS,97889,YAVARATÉ (Cor. Departamental),1.00,14.00,57.00,23.69,1.00,- 0,4.00,5.00,4.00,13.00,- 0,2.00,1.00,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
99,VICHADA,99773,CUMARIBO,"7,943.17","4,846.00","3,758.00","4,629.00","7,599.00","5,470.00","7,109.00","3,128.00","3,093.00","2,705.00","2,234.00","1,234.00",710.00,507.00,683.14,699.19,652.72,549.97,245.30,120.98,310.83,282.7
99,VICHADA,99524,LA PRIMAVERA,122.70,63.00,60.00,63.00,227.00,53.00,108.00,46.00,35.00,38.00,30.00,8.00,3.00,4.00,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
99,VICHADA,99624,SANTA ROSALÍA,- 0,- 0,- 0,- 0,- 0,- 0,1.00,- 0,12.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
