CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18,CAQUETÁ,18479,MORELIA,2.00,4.00,0.58,554.00,2.00,18.00,5.00,5.00,6.00,1.00,1.00,5.00,10.00,- 0,1.04,- 0,16.06,21.04,1.13,0,- 0,- 0
18,CAQUETÁ,18592,PUERTO RICO,118.00,246.00,384.00,279.00,91.00,143.00,191.00,458.00,429.00,148.00,316.00,219.00,207.00,354.00,415.94,545.83,"1,635.95","1,454.45",224.31,12.93,44.84,65.61
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,653.83,655.00,425.00,209.00,311.00,245.00,353.00,92.00,119.00,145.00,304.00,552.00,488.00,611.00,"1,083.85","1,030.80","1,414.45","1,592.82","1,409.84",430.64,781.94,1202.03
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,"1,193.14",606.00,407.00,603.00,231.00,332.00,380.00,373.00,545.00,215.00,78.00,77.00,164.00,412.00,406.84,403.29,380.85,264.01,71.30,104.61,84.61,92.44
18,CAQUETÁ,18756,SOLANO,"2,039.85","1,067.00","1,146.00",516.00,"1,015.00",808.00,"1,253.00",992.00,743.00,567.00,842.00,876.00,933.00,"1,269.00","1,285.05","1,577.25",763.80,825.37,447.44,281.16,713.34,1168.69
18,CAQUETÁ,18785,SOLITA,757.91,380.00,769.00,309.00,103.00,214.00,195.00,64.00,121.00,78.00,23.00,30.00,29.00,26.00,31.56,34.58,42.15,55.15,8.75,5.23,8.52,41.76
18,CAQUETÁ,18860,VALPARAÍSO,832.48,292.00,690.00,"1,094.00",182.00,236.00,291.00,62.00,123.00,95.00,99.00,69.00,106.00,82.00,92.37,143.47,182.53,231.95,51.73,27.57,175.16,331.7
19,CAUCA,19022,ALMAGUER,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
19,CAUCA,19050,ARGELIA,206.34,218.00,93.00,65.00,153.00,161.00,637.00,483.00,300.00,296.00,200.00,470.00,121.00,"1,328.00",959.73,"1,754.51","1,956.52","2,369.96","2,351.45",2549.58,"2,849.97",3085.97
19,CAUCA,19075,BALBOA,19.00,- 0,94.00,23.00,24.00,91.00,192.00,15.00,49.00,77.00,62.00,43.00,24.00,80.00,223.80,112.27,82.33,198.37,321.43,293.98,561.50,499.9
